,rand_smi,cano_smi,CT_TOX
765,[NH3+]CCCCC1NC(=O)C(NC(C(NC(=O)C(NC(=O)C(Cc2ccccc2)[NH3+])CSSCC(NC(=O)C(NC1=O)C(O)C)C(=O)NC(C(O)C)CO)Cc1ccccc1)=O)Cc1c2c(cccc2)[nH]c1,CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C([NH3+])Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCC[NH3+])C(=O)NC(C(C)O)C(=O)N1,0
766,O=C(N(O)C(c1cc2c(cccc2)s1)C)N,CC(c1cc2ccccc2s1)N(O)C(N)=O,0
767,C(c1cc(F)c(cc1)-c1ccccc1)(C(=O)[O-])C,CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1,0
768,CC([NH2+]C)C1CCC([NH3+])C(OC2C(O)C(C(CC2[NH3+])[NH3+])OC2C(C([NH2+]C)C(CO2)(C)O)O)O1,C[NH2+]C(C)C1CCC([NH3+])C(OC2C([NH3+])CC([NH3+])C(OC3OCC(C)(O)C([NH2+]C)C3O)C2O)O1,0
769,c1(sccc1)C(c1ccc(cc1)C(C)C(=O)[O-])=O,CC(C(=O)[O-])c1ccc(C(=O)c2cccs2)cc1,0
770,C(C)(c1cc(ccc1)C(=O)c1ccccc1)C([O-])=O,CC(C(=O)[O-])c1cccc(C(=O)c2ccccc2)c1,0
771,c1cccc(Oc2cc(ccc2)C(C)C([O-])=O)c1,CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1,0
772,c1ccccc1C(OCC[NH+](C)C)(c1ccccn1)C,C[NH+](C)CCOC(C)(c1ccccc1)c1ccccn1,0
773,[N+](C)(C)(C)CC(C)OC(=O)C,CC(=O)OC(C)C[N+](C)(C)C,0
774,C[N+](CC(C)OC(=O)N)(C)C,CC(C[N+](C)(C)C)OC(N)=O,0
775,C1(CCCCC1)[NH2+]CC(C)OC(=O)c1ccccc1,CC(C[NH2+]C1CCCCC1)OC(=O)c1ccccc1,0
776,C(c1ccc(cc1)O)C(C)[NH3+],CC([NH3+])Cc1ccc(O)cc1,0
777,c1(CC(C)[NH2+]CC(O)c2ccc(O)c(NC=O)c2)ccc(cc1)OC,COc1ccc(CC(C)[NH2+]CC(O)c2ccc(O)c(NC=O)c2)cc1,0
778,CC([NH2+]CC(c1ccc(O)c(c1)O)O)Cc1cc2c(cc1)OCO2,CC(Cc1ccc2c(c1)OCO2)[NH2+]CC(O)c1ccc(O)c(O)c1,0
779,c1ccc(CC([NH+](Cc2ccccc2)C)C)cc1,CC(Cc1ccccc1)[NH+](C)Cc1ccccc1,0
780,C(Cc1ccccc1)([NH2+]C)C,C[NH2+]C(C)Cc1ccccc1,0
781,c1cccc(CC(C)[NH3+])c1,CC([NH3+])Cc1ccccc1,0
782,c1c(O)ccc(CCC(C)[NH2+]CCc2ccc(c(c2)O)O)c1,CC(CCc1ccc(O)cc1)[NH2+]CCc1ccc(O)c(O)c1,0
783,C(CCc1ccccc1)([NH2+]CC(c1cc(c(O)cc1)C(N)=O)O)C,CC(CCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(C(N)=O)c1,0
784,c12c(c(NC(C)CCC[NH3+])cc(OC)c1)nccc2,COc1cc(NC(C)CCC[NH3+])c2ncccc2c1,0
785,CC(N(c1c(cc(c(N)c1I)I)I)CC(C)C([O-])=O)=O,CC(=O)N(CC(C)C(=O)[O-])c1c(I)cc(I)c(N)c1I,0
786,c1ccc2CCc3c(cccc3)N(c2c1)CC(C[NH+](C)C)C,CC(CN1c2ccccc2CCc2ccccc21)C[NH+](C)C,0
787,CC(CN1c2c(Sc3ccccc13)cccc2)[NH+](C)C,CC(CN1c2ccccc2Sc2ccccc21)[NH+](C)C,0
788,c1cccc2Sc3c(cccc3)N(c12)CC(C[NH+](C)C)C,CC(CN1c2ccccc2Sc2ccccc21)C[NH+](C)C,0
789,C1CN(CCN(CC(C)O)CC[NH+](CCN1CC([O-])=O)CC(=O)[O-])CC([O-])=O,CC(O)CN1CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC[NH+](CC(=O)[O-])CC1,0
790,c1(C[NH+](CCCl)C(COc2ccccc2)C)ccccc1,CC(COc1ccccc1)[NH+](CCCl)Cc1ccccc1,0
791,c1c(ccc(S(=O)(=O)CC(O)(C(Nc2ccc(C#N)c(c2)C(F)(F)F)=O)C)c1)F,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,0
792,O=P(C(P(=O)([O-])[O-])(O)C)([O-])[O-],CC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],0
793,C(=O)(/N=c1/n(nc(s1)S(=O)(=O)N)C)C,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,0
794,C(=O)(O[C@]1([C@@]2(C)C[C@H](c3ccc(cc3)N(C)C)C3=C4CCC(C=C4CC[C@H]3[C@@H]2CC1)=O)C(=O)C)C,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0
795,O=C([C@H]1CC[C@H]2[C@H]3[C@@H](CC[C@]12C)[C@@]1(CCC(C=C1C=C3)=O)C)C,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,0
796,C1C[C@]2([C@@H](CC[C@@H]2C(C)=O)[C@@H]2CCC3=CC(CC[C@@]3([C@H]21)C)=O)C,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0
797,c1cc(S([N-]C(=O)C)(=O)=O)ccc1N,CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1,0
798,O=C([O-])C,CC(=O)[O-],0
799,n1oc2cc(F)ccc2c1C1CC[NH+](CCCOc2c(cc(C(C)=O)cc2)OC)CC1,COc1cc(C(C)=O)ccc1OCCC[NH+]1CCC(c2noc3cc(F)ccc23)CC1,0
800,C(NC1CCCCC1)([N-]S(=O)(=O)c1ccc(cc1)C(=O)C)=O,CC(=O)c1ccc(S(=O)(=O)[N-]C(=O)NC2CCCCC2)cc1,0
801,O=C(c1ccc2c(N(c3c(cccc3)S2)CCC[NH+]2CCC(CCO)CC2)c1)C,CC(=O)c1ccc2c(c1)N(CCC[NH+]1CCC(CCO)CC1)c1ccccc1S2,0
802,c1c2c(N(CCCN3CC[NH+](CCO)CC3)c3c(S2)ccc(C(=O)C)c3)ccc1,CC(=O)c1ccc2c(c1)N(CCCN1CC[NH+](CCO)CC1)c1ccccc1S2,0
803,c1cc(C(c2c([O-])c3c(cccc3)oc2=O)CC(=O)C)ccc1,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,0
804,c12cc(ccc2cc(cc1)OC)CCC(C)=O,COc1ccc2cc(CCC(C)=O)ccc2c1,0
805,c1(n(CCCCC(C)=O)c(=O)c2c(n1C)ncn2C)=O,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0
806,C(c1c(c(c(I)c(c1I)C(=O)NCC(Nc1c(c(c(c(c1I)C([O-])=O)I)C(NCCO)=O)I)=O)N(C(=O)C)C)I)(=O)NC,CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)[O-])c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I,0
807,C(C)(=O)N(c1c(c(c(I)c(C(=O)NCC(O)CO)c1I)C(NCC(O)CO)=O)I)CC(O)CN(c1c(I)c(c(I)c(c1I)C(=O)NCC(O)CO)C(=O)NCC(O)CO)C(=O)C,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0
808,OCC(O)CNC(c1c(I)c(C(NCC(O)CO)=O)c(I)c(N(C(=O)C)CC(O)CO)c1I)=O,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0
809,C(O)C(CNC(c1c(c(N(C(C)=O)CC(CO)O)c(c(c1I)C(=O)NCCO)I)I)=O)O,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,0
810,C(CCCCN(C(=O)C)O)NC(=O)CCC(N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+])=O,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+],0
811,CC(=O)N1CCN(c2ccc(OC[C@@H]3O[C@](c4ccc(Cl)cc4Cl)(Cn4cncc4)OC3)cc2)CC1,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1
812,c1c(N2CCN(C(C)=O)CC2)ccc(c1)OC[C@H]1CO[C@@](c2ccc(Cl)cc2Cl)(Cn2ccnc2)O1,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0
813,[C@@H](CS)(NC(C)=O)C([O-])=O,CC(=O)N[C@@H](CS)C(=O)[O-],0
814,[C@H]1([C@@H](O)[C@@H]([C@@H](C([O-])=O)O[C@H]1O[C@@H]1[C@H]([C@H](O)O[C@@H]([C@@H]1O)OS(=O)(=O)[O-])NC(C)=O)O)O,CC(=O)N[C@@H]1[C@@H](O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H](OS(=O)(=O)[O-])O[C@H]1O,0
815,C([C@H]([C@@H](O)[C@@H]1OC(C([O-])=O)=C[C@H]([NH+]=C(N)N)[C@H]1NC(=O)C)O)O,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1[NH+]=C(N)N,0
816,C([C@H](C(NCc1ccccc1)=O)NC(=O)C)OC,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,0
817,c12cc(c(ccc2-c2c(CC[C@@H]1NC(=O)C)cc(OC)c(c2OC)OC)OC)=O,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0
818,c1(c(c(I)c(c(I)c1C(=O)NC)NC(C)=O)C([O-])=O)I,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I,0
819,CC(N(C)c1c(I)c(NC(C)=O)c(c(c1I)C(=O)[O-])I)=O,CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I,0
820,C1([C@H](NC(=O)c2c(c(NC(=O)C)c(I)c(c2I)N(C(C)=O)C)I)[C@H]([C@@H]([C@@H](CO)O1)O)O)O,CC(=O)Nc1c(I)c(C(=O)N[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)c(I)c(N(C)C(C)=O)c1I,0
821,c1(c(c(I)c(NC(=O)C)c(c1NC(=O)C)I)C(=O)[O-])I,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I,0
822,Ic1c(c(c(c(c1)I)C(=O)[O-])I)NC(C)=O,CC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I,0
823,c1cc(NC(C)=O)ccc1O,CC(=O)Nc1ccc(O)cc1,0
824,C(Nc1nnc(s1)S(=O)(N)=O)(=O)C,CC(=O)Nc1nnc(S(N)(=O)=O)s1,0
825,C1COCCN1c1ccc(cc1F)N1C(=O)O[C@H](C1)CNC(=O)C,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,0
826,O=C([O-])c1c(c(NC(=O)C)c(I)c(CNC(=O)C)c1I)I,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I,0
827,C(NCCCS(=O)(=O)[O-])(=O)C,CC(=O)NCCCS(=O)(=O)[O-],0
828,ONC(C)=O,CC(=O)NO,0
829,c1cc2c(cc1)S[C@H]([C@H](C(=O)N2CC[NH+](C)C)OC(C)=O)c1ccc(cc1)OC,COc1ccc([C@@H]2Sc3ccccc3N(CC[NH+](C)C)C(=O)[C@@H]2OC(C)=O)cc1,0
830,C1[C@H]2[C@H]3[C@H](CC[C@]2(C)[C@](C1)(OC(=O)C)C#C)[C@H]1CCC(C=C1CC3)=O,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0
831,C1CC[N+]([C@H]2C[C@H]3[C@H]4[C@H](CC[C@@]3([C@H]2OC(=O)C)C)[C@]2(C)[C@H](C[C@H](O)[C@@H]([NH+]3CCOCC3)C2)CC4)(C1)CC=C,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H]([NH+]6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,0
832,C1CCC[N+]([C@H]2C[C@@H]3[C@]([C@H]2OC(C)=O)(C)CC[C@H]2[C@H]3CC[C@@H]3[C@]2(C)C[C@H]([N+]2(C)CCCCC2)[C@H](C3)OC(C)=O)(C)C1,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,0
833,C1[C@H]2[C@](C)(C[C@@H]([C@H]1OC(C)=O)[NH+]1CCCCC1)[C@@H]1[C@@H](CC2)[C@@H]2C[C@@H]([C@@H]([C@]2(CC1)C)OC(=O)C)[N+]1(C)CCCCC1,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[NH+]1CCCCC1,0
834,[C@H]1(N2CC[N+](C)(C)CC2)C[C@]2([C@H](C[C@@H]1OC(C)=O)CC[C@H]1[C@H]3[C@@](C)([C@H]([C@@H](N4CC[N+](C)(CC4)C)C3)OC(=O)C)CC[C@H]21)C,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1,0
835,[C@H]1(c2ccccc2N(C(N)=O)c2ccccc2C1)OC(=O)C,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21,1
836,O([C@@H]1CC2=CC[C@@H]3[C@H](CC[C@@]4(C(c5cnccc5)=CC[C@H]43)C)[C@]2(CC1)C)C(C)=O,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,0
837,[C@@H]12[C@@]3(C)CC[C@@H](CC3=CC[C@H]1[C@H]1[C@](C(c3cnccc3)=CC1)(C)CC2)OC(=O)C,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,1
838,C(O[C@H]1CC[C@H]2C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@]2(OC(C)=O)C#C)C)(C)=O,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,0
839,c1cccc(c1F)C([NH+]1Cc2c(CC1)sc(OC(C)=O)c2)C(=O)C1CC1,CC(=O)Oc1cc2c(s1)CC[NH+](C(C(=O)C1CC1)c1ccccc1F)C2,0
840,O(C(C)=O)c1ccc(cc1)C(c1ccc(cc1)OC(C)=O)c1ccccn1,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,0
841,c1cccc(OC(C)=O)c1C([O-])=O,CC(=O)Oc1ccccc1C(=O)[O-],0
842,c1c([N+](=O)[O-])sc(NC(c2c(cccc2)OC(C)=O)=O)n1,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,0
843,OC(c1ccccc1OC(=O)C)=O,CC(=O)Oc1ccccc1C(=O)O,1
844,c1nc(nc2n(CCC(COC(=O)C)COC(C)=O)cnc12)N,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,0
845,[C@@]12([C@H](OC(O1)(C)C)C[C@@H]1[C@]2(C)C[C@H](O)[C@@]2([C@]3(C)C([C@@H](F)C[C@H]21)=CC(C=C3)=O)F)C(COC(C)=O)=O,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0
846,C1[C@H]2OC3(O[C@]2([C@]2(C)[C@@H]1[C@@H]1CCC4=CC(=O)C=C[C@]4(C)[C@]1([C@@H](O)C2)F)C(=O)COC(=O)C)CCCC3,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0
847,O[C@@]1(C(=O)COC(=O)C)[C@]2(C[C@H](O)[C@@]3([C@@]4(C(CC[C@H]3[C@@H]2CC1)=CC(CC4)=O)C)F)C,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0
848,C(COC(=O)C)(=O)[C@]1(O)[C@]2(C)[C@@H](CC1)[C@H]1[C@@H]([C@@]3(C)CCC(=O)C=C3CC1)[C@@H](O)C2,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0
849,O=C1[C@H]2[C@H]([C@H]3[C@]([C@](C(=O)COC(C)=O)(O)CC3)(C)C1)CCC1=CC(CC[C@]21C)=O,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,0
850,[C@]12([C@H]([C@@H]3CCC4[C@@](C)([C@H]3CC1)CCC(C=4)=O)CC[C@@H]2C(COC(C)=O)=O)C,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0
851,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(=C(COC(C)=O)CS[C@@H]21)C(=O)[O-])c1nc(N)sc1,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,0
852,O=C(OCC1=C(C(=O)[O-])N2C([C@H]([C@H]2SC1)NC([C@H]([NH3+])c1ccccc1)=O)=O)C,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccccc3)[C@H]2SC1,0
853,c1cc(CC(N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CS[C@@H]32)COC(C)=O)=O)sc1,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,0
854,[C@@H]12N(C(=O)[C@H]2NC(=O)CSc2ccncc2)C(C([O-])=O)=C(COC(C)=O)CS1,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,0
855,C[N+](CCOC(C)=O)(C)C,CC(=O)OCC[N+](C)(C)C,0
856,C1C(=O)C=C2[C@]([C@H]3CC[C@@]4([C@]5(CCC(=O)O5)CC[C@H]4[C@@H]3[C@H](SC(=O)C)C2)C)(C)C1,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,0
857,O=C(N)OCC1CS[C@@H]2[C@@H](C(N2C=1C(OC(C)OC(=O)C)=O)=O)NC(/C(=N\OC)c1ccco1)=O,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,0
858,c1cc(/C(CC)=C(\CC)c2ccc(cc2)O)ccc1O,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,0
859,C(/C(=C(/CC)c1ccc(OP([O-])(=O)[O-])cc1)c1ccc(cc1)OP([O-])(=O)[O-])C,CC/C(=C(/CC)c1ccc(OP(=O)([O-])[O-])cc1)c1ccc(OP(=O)([O-])[O-])cc1,0
860,C(\c1ccccc1)(=C(/c1ccccc1)CC)c1ccc(OCC[NH+](C)C)cc1,CC/C(=C(\c1ccccc1)c1ccc(OCC[NH+](C)C)cc1)c1ccccc1,0
861,O=C1N2[C@H](C(C)(C)S(=O)([C@@H]2C1)=O)C(=O)[O-],CC1(C)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O,0
862,C1(C)([C@@H](N2[C@H](S1)[C@H](/[NH+]=C/N1CCCCCC1)C2=O)C(=O)[O-])C,CC1(C)S[C@@H]2[C@H](/[NH+]=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)[O-],0
863,C1(C)(C)N(C(=O)[C@H]([NH2+]1)c1ccccc1)[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C([O-])=O,CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)[NH2+]C3(C)C)C(=O)N2[C@H]1C(=O)[O-],0
864,S1[C@@H]2[C@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)C(=O)N2[C@H](C1(C)C)C(=O)[O-],CC1(C)S[C@@H]2[C@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)[O-],0
865,[NH3+][C@@H](C(N[C@@H]1C(N2[C@@H]1SC([C@@H]2C(=O)[O-])(C)C)=O)=O)c1ccccc1,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H]([NH3+])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],0
866,CC1([C@H](C(=O)[O-])N2[C@H](S1)[C@H](NC(=O)[C@H](NC(=O)N1CCNC1=O)c1ccccc1)C2=O)C,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],0
867,C([C@@H](c1ccsc1)C([O-])=O)(=O)N[C@@H]1C(N2[C@H](C(S[C@H]12)(C)C)C(=O)[O-])=O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)[O-])c3ccsc3)C(=O)N2[C@H]1C(=O)[O-],0
868,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],0
869,CC1(C)[C@@H](N2C([C@H]([C@H]2S1)NC(=O)C1(CCCCC1)[NH3+])=O)C([O-])=O,CC1(C)S[C@@H]2[C@H](NC(=O)C3([NH3+])CCCCC3)C(=O)N2[C@H]1C(=O)[O-],0
870,[C@H]1(N2[C@@H]([C@@H](C2=O)NC(=O)c2c(cccc2OC)OC)SC1(C)C)C(=O)[O-],COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-],0
871,O=C([C@H]1C(C)(C)S[C@H]2N1C([C@H]2NC(Cc1ccccc1)=O)=O)[O-],CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],0
872,N(C(COc1ccccc1)=O)[C@H]1[C@H]2SC(C)([C@H](C(=O)[O-])N2C1=O)C,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],0
873,NC(C(C(NC([C@H]1N(C([C@@H](NC(=O)NC(C)(C)C)C(C)(C)C)=O)C[C@H]2[C@@H]1C2(C)C)=O)CC1CCC1)=O)=O,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,0
874,C(NC(C(=O)NCCCCCC([O-])=O)C1SC(C)(C)C([NH2+]1)C([O-])=O)(Cc1ccccc1)=O,CC1(C)SC(C(NC(=O)Cc2ccccc2)C(=O)NCCCCCC(=O)[O-])[NH2+]C1C(=O)[O-],0
875,c1c2N(C(C(c2ccc1)(C)C)=C)CCCCCC(O)=O,C=C1N(CCCCCC(=O)O)c2ccccc2C1(C)C,1
876,c1cccc(Oc2cc(COC(C3C(C3(C)C)C=C(Cl)Cl)=O)ccc2)c1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,0
877,[N+](=O)([O-])c1ccc(cc1C(F)(F)F)N1C(=O)NC(C)(C1=O)C,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,0
878,CN1C(OC(C1=O)(C)C)=O,CN1C(=O)OC(C)(C)C1=O,0
879,C12/C(=C/c3ccc(/C=C4\C(C5(CCC4C5(C)C)CS([O-])(=O)=O)=O)cc3)C(C(C2(C)C)(CC1)CS([O-])(=O)=O)=O,CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)/C2=C\c1ccc(/C=C2\C(=O)C3(CS(=O)(=O)[O-])CCC2C3(C)C)cc1,0
880,C1C2C([NH2+]C)(C(C(C1)C2)(C)C)C,C[NH2+]C1(C)C2CCC(C2)C1(C)C,0
881,[O-]C(/C(NC(=O)[C@@H]1C(C1)(C)C)=C/CCCCSC[C@@H](C([O-])=O)[NH3+])=O,CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H]([NH3+])C(=O)[O-])C(=O)[O-],0
882,c1(N)nccn2c(nc(c12)-c1ccc2c(c1)nc(-c1ccccc1)cc2)C1CC(O)(C1)C,CC1(O)CC(c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn23)C1,1
883,O=C1C(c2ccccc2)(CC(N1C)=O)C,CN1C(=O)CC(C)(c2ccccc2)C1=O,0
884,O1[C@@H]2CO[C@@]3(COS(=O)(N)=O)OC(C)(O[C@H]3[C@@H]2OC1(C)C)C,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,0
885,C1C2(CC3CC(C)(C2)CC1([NH3+])C3)C,CC12CC3CC(C)(C1)CC([NH3+])(C3)C2,0
886,C12C(CCC3(C)C2CCC3C(COC(C(C)(C)C)=O)=O)C2(C(=CC(=O)CC2)CC1)C,CC(C)(C)C(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,0
887,[nH]1c(nc2n(cnc2c1=O)[C@@H]1C([C@H](CO)[C@@H](O)C1)=C)N,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,0
888,c1c2c(cc(Cl)c1)C(=NCc1c[nH+]c(C)n-21)c1c(F)cccc1,Cc1[nH+]cc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0
